sku,part_name,manufacturer_reference,model_reference,oem_part_number,oem_number_status,configuration_or_variant,source_title,source_url,source_type,evidence_notes,reviewed_on,approved_for_publication
PGE-K300-017,Discharge Chute Sensor Holder,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-018,Bearing Block Lower Pre-Compression,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-019,Bearing Block Upper Pre-Compression,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-020,Eccentric Shaft Upper Pre-Compression,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-021,Transition Cam Fill to Dosing,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-022,Transition Cam Dosing to Pre-Compression,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-023,Upper Punch Tight Toe Cam,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-024,Feeder Paddle Gear,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-025,Zero Clearance Feeder Pan Assembly,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-026,Zero Clearance Feeder Pan,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-027,Stripper for Feeder,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-028,Tablet Sticking Device,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-029,Tail Over Die,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-030,Lower Punch Safety Rail,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-031,Lower Punch Tight,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-032,Lower Punch Hold Down,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-033,Upper Tight Cam,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-034,Upper Punch Access Cam,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-035,Fill Cam Rail Pin,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-036,Hopper Sensor Holder,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-037,Inner Arm Pre-Compression Lower,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-038,Outer Arm Pre-Compression Lower,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-039,Pressure Spring,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-040,Scraper,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-041,Scraper Mount,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-042,Sensor Cover Discharge Area,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-043,Sensor Cover Hopper Area,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-044,Tail Over Die Mount,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-045,Feeder Insert,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-046,Feeder Paddle,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-047,Ejection Cam Ramp,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-048,Ejection Segment,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-K300-049,Oil Pipe Cam,Korsch,Model unresolved,,unresolved,,Natoli current Korsch machine-parts catalog,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-001,Bushing,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-002,Dc Motor Controller,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-003,Die Lock Screw,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",2026-08-31,no
PGE-STK-004,Feeder Cover Window,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-005,Feeder Pan,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-006,Flanged Idler Pulley,Korsch,328,085-018-894,verified,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,exact catalog name and retained-model match,"Exact normalized part name and retained model-folder match to the current Stokes catalog index, catalog page 35; OEM 085-018-894. No third-party replacement number is stored or published.",2026-08-31,yes
PGE-STK-007,Hold Down Cam,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-008,Idler Bolt,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-009,Insert Cam Fill Variant,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-010,Large Feeder Paddle With Plow,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-011,Large Stainless Feeder Paddle,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-012,Leveling Eccentric,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",2026-08-31,no
PGE-STK-013,Lower Pull-Down Cam - 1-3/8 Inch Fill,Korsch,328,B-236-873-009,verified,,PharmParts product listing; Natoli current machine-parts print catalog,https://pharmparts.com/products/lower-pull-down-cam-1-3-8-fill-for-stokes-328-oem-part-b-236-873-009,two-source exact name/model/OEM match,Exact or normalized-exact part name and model match. OEM B-236-873-009 is independently corroborated in the Natoli catalog index at https://store.natoli.com/catalogs/. No third-party replacement number is published.,2026-08-31,yes
PGE-STK-014,Lower Pull-Down Cam - 11/16 Inch Fill,Korsch,328,D-236-864-002,verified,,PharmParts product listing; Natoli current machine-parts print catalog,https://pharmparts.com/products/lower-pull-down-cam-11-16-fill-for-stokes-328-oem-part-d-236-864-002,two-source exact name/model/OEM match,Exact or normalized-exact part name and model match. OEM D-236-864-002 is independently corroborated in the Natoli catalog index at https://store.natoli.com/catalogs/. No third-party replacement number is published.,2026-08-31,yes
PGE-STK-015,"Lower Pull-Down Cam - 7/8 Inch Fill, Series 33",Korsch,328,D-236-865-002,verified,,PharmParts product listing; Natoli current machine-parts print catalog,https://pharmparts.com/products/lower-pull-down-cam-7-8-fill-ser-33-for-stokes-328-oem-part-d-236-865-002,two-source exact name/model/OEM match,Exact or normalized-exact part name and model match. OEM D-236-865-002 is independently corroborated in the Natoli catalog index at https://store.natoli.com/catalogs/. No third-party replacement number is published.,2026-08-31,yes
PGE-STK-016,Press Scraper,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-017,Scraper Support Post,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-018,Small Feeder Paddle With Plow,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-019,Small Feeder Paddle,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-020,Small Stainless Feeder Paddle,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-021,Sump Cleanout Gasket,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-022,Upper Roll Thrust Plate,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-023,Weight Adjustment Handwheel,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-024,Inverter Ready Motor,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-025,Clutch Shifter Lever Locking Sleeve,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-026,Oil Pump,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",2026-08-31,no
PGE-STK-027,Pressure Roller,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-028,Pump Mounting Bracket,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",2026-08-31,no
PGE-STK-029,Dust Box,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-030,D Tooling Dwell Cam,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-031,Dwell Cam,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",2026-08-31,no
PGE-STK-032,Front Ejection Cam,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-033,Lower Pre Compression Cam,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-034,Rear Ejection Cam,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-035,Lower Gear Guard,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
