sku,current_name,make,retained_model_folder,review_status,publication_decision,approved_part_name,approved_model,verified_oem,catalog_page,pdf_page,source_url,evidence_notes,approved_for_publication
PGE-K300-011,Cam Behind Upper Roller,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-012,Guide Dosing Cam Bolt,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-013,Feeder Paddle Right,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-014,Feeder Paddle Left,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-015,PTFE Seal With Lip,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-016,Three Quarter Inch Punch Seal,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-017,Discharge Chute Sensor Holder,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-018,Bearing Block Lower Pre-Compression,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-019,Bearing Block Upper Pre-Compression,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-020,Eccentric Shaft Upper Pre-Compression,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-021,Transition Cam Fill to Dosing,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-022,Transition Cam Dosing to Pre-Compression,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-023,Upper Punch Tight Toe Cam,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-024,Feeder Paddle Gear,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-025,Zero Clearance Feeder Pan Assembly,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-026,Zero Clearance Feeder Pan,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-027,Stripper for Feeder,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-028,Tablet Sticking Device,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-029,Tail Over Die,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-030,Lower Punch Safety Rail,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-031,Lower Punch Tight,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-032,Lower Punch Hold Down,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-033,Upper Tight Cam,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-034,Upper Punch Access Cam,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-035,Fill Cam Rail Pin,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-036,Hopper Sensor Holder,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-037,Inner Arm Pre-Compression Lower,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-038,Outer Arm Pre-Compression Lower,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-039,Pressure Spring,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-040,Scraper,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-041,Scraper Mount,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-042,Sensor Cover Discharge Area,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-043,Sensor Cover Hopper Area,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-044,Tail Over Die Mount,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-045,Feeder Insert,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-046,Feeder Paddle,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-047,Ejection Cam Ramp,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-048,Ejection Segment,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-K300-049,Oil Pipe Cam,Korsch,korsch-300,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/korsch-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-001,Hopper With Bracket,Manesty,b3b,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-002,Lower Cam Track,Manesty,b3b,verified_exact_name_unique_oem,verified,Lower Cam Track,B3B,35172,33,140,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact normalized part name and retained model-folder match to the current Manesty catalog index, catalog page 33; OEM 35172. No third-party replacement number is stored or published.",yes
PGE-MAN-003,Left Hand Feeder Paddle,Manesty,bb4,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-004,Right Hand Feeder Paddle,Manesty,bb4,catalog_match_oem_unavailable,unresolved,,,,49,143,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact name-and-model catalog match found, but the catalog OEM field is blank; no OEM number published.",no
PGE-MAN-005,2 Inch Round Nut,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-006,Anti Vibration Mount,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-007,Bearing For Handwheel,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-008,Column Bearing Bush,Manesty,betapress,verified_exact_name_unique_oem,verified,Column Bearing Bush,Betapress,44344,63,146,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,Exact or normalized-exact part name and model match. OEM 44344 is independently corroborated in the Natoli catalog index at https://store.natoli.com/catalogs/. No third-party replacement number is published.,yes
PGE-MAN-009,Column Bushing,Manesty,betapress,exact_name_model_conflict,unresolved,,,,94,153,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",no
PGE-MAN-010,Coned Die Screw Assemblies,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-011,Cover Over Scraper,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-012,Drive Belt,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-013,Ejection Cam,Manesty,betapress,verified_exact_name_unique_oem,verified,Ejection Cam,BETAPRESS,44650,54,144,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact normalized part name and retained model-folder match to the current Manesty catalog index, catalog page 54; OEM 44650. No third-party replacement number is stored or published.",yes
PGE-MAN-014,Extension Ring,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-015,Feed Chute For Manual Feed Plate,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-016,Feed Frame For Power Feeder,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-017,Feeder Base,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-018,Feeder Gear 32 T,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-019,Feeder Gear 36T,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-020,Feeder Gear Steel,Manesty,betapress,verified_exact_name_unique_oem,verified,Feeder Gear - Steel,BETAPRESS,44436,56,145,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact normalized part name and retained model-folder match to the current Manesty catalog index, catalog page 56; OEM 44436. No third-party replacement number is stored or published.",yes
PGE-MAN-021,Feeder Gear,Manesty,betapress,exact_name_model_conflict,verified,Feeder Gear,Betapress,44437,103,155,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,Exact or normalized-exact part name and model match. OEM 44437 is independently corroborated in the Natoli catalog index at https://store.natoli.com/catalogs/. No third-party replacement number is published.,yes
PGE-MAN-022,Feeder Inter Gear Bushing,Manesty,betapress,verified_exact_name_unique_oem,verified,Feeder Inter Gear Bushing,BETAPRESS,39778,61,146,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact normalized part name and retained model-folder match to the current Manesty catalog index, catalog page 61; OEM 39778. No third-party replacement number is stored or published.",yes
PGE-MAN-023,Feeder Leveling Screw New Table,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-024,Feeder Motor Connector,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-025,Feeder Paddle Single Side,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-026,Feeder Pan Gasket,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-027,Feeder Pivot Bolt,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-028,Feeder Plate,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-029,Fill Cam 11 16 Ipt B,Manesty,betapress,exact_name_model_conflict,unresolved,,,,117,158,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",no
PGE-MAN-030,Fill Cam Eu B,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-031,Front Rear Lower Cam Track Guard,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-032,Green Pushbutton,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-033,Guard For Feeder Gears,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-034,Handle For Speed Adjust Hand Wheel,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-035,Handwheel,Manesty,betapress,verified_exact_name_unique_oem,verified,Handwheel,BETAPRESS,44343,52,144,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact normalized part name and retained model-folder match to the current Manesty catalog index, catalog page 52; OEM 44343. No third-party replacement number is stored or published.",yes
PGE-MAN-036,Inlet On Feeder,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-037,Intermediate Gear Bushing,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-038,Left Hand Lower Cam Track Guard,Manesty,betapress,verified_exact_name_unique_oem,verified,Left Hand Lower Cam Track Guard,BETAPRESS,44021,52,144,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,"Exact normalized part name and retained model-folder match to the current Manesty catalog index, catalog page 52; OEM 44021. No third-party replacement number is stored or published.",yes
PGE-MAN-039,Locking Screw,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-040,Lower Drip Tray Assembly,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-041,Lower Tamping Roll Housing,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-042,Lubrication Elbow,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-043,Manual Feed Plate,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-044,Oil Distributor,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-045,Pillar Tamping Roll Lower,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-046,Plate Insert,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
PGE-MAN-047,Pressure Roller Bushing,Manesty,betapress,no_exact_catalog_match,unresolved,,,,,,https://store.natoli.com/wp-content/uploads/manesty-machine-parts-catalog-20260422a-linked.pdf,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,no
